sensor_id_temperature,sensor_type_temperature,location_temperature,lat_temperature,lon_temperature,timestamp_temperature,value_type_temperature,value_temperature,timestamp_new,sensor_id_humidity,sensor_type_humidity,location_humidity,lat_humidity,lon_humidity,timestamp_humidity,value_type_humidity,value_humidity,sensor_id_P1,sensor_type_P1,location_P1,lat_P1,lon_P1,timestamp_P1,value_type_P1,value_P1,sensor_id_P2,sensor_type_P2,location_P2,lat_P2,lon_P2,timestamp_P2,value_type_P2,value_P2
145,DHT22,3528,-0.286,36.067,2023-02-04 04:57:34.390156+00:00,temperature,14,2023-02-04 04:57:34+00:00,145,DHT22,3528,-0.286,36.067,2023-02-04 04:57:34.390156+00:00,humidity,100,144,SDS011,3528,-0.286,36.067,2023-02-04 04:57:34.392875+00:00,P1,29.0,144,SDS011,3528,-0.286,36.067,2023-02-04 04:57:34.392875+00:00,P2,15.0
145,DHT22,3528,-0.286,36.067,2023-02-04 05:00:13.815257+00:00,temperature,14,2023-02-04 05:00:13+00:00,145,DHT22,3528,-0.286,36.067,2023-02-04 05:00:13.815257+00:00,humidity,100,144,SDS011,3528,-0.286,36.067,2023-02-04 05:00:13.815369+00:00,P1,30.0,144,SDS011,3528,-0.286,36.067,2023-02-04 05:00:13.815369+00:00,P2,15.0
145,DHT22,3528,-0.286,36.067,2023-02-04 05:02:53.672793+00:00,temperature,14,2023-02-04 05:02:53+00:00,145,DHT22,3528,-0.286,36.067,2023-02-04 05:02:53.672793+00:00,humidity,100,144,SDS011,3528,-0.286,36.067,2023-02-04 05:02:53.670508+00:00,P1,19.0,144,SDS011,3528,-0.286,36.067,2023-02-04 05:02:53.670508+00:00,P2,15.0
145,DHT22,3528,-0.286,36.067,2023-02-04 05:05:34.775584+00:00,temperature,15,2023-02-04 05:05:34+00:00,145,DHT22,3528,-0.286,36.067,2023-02-04 05:05:34.775584+00:00,humidity,100,144,SDS011,3528,-0.286,36.067,2023-02-04 05:05:34.749576+00:00,P1,35.0,144,SDS011,3528,-0.286,36.067,2023-02-04 05:05:34.749576+00:00,P2,22.0
145,DHT22,3528,-0.286,36.067,2023-02-04 05:08:14.753701+00:00,temperature,15,2023-02-04 05:08:14+00:00,145,DHT22,3528,-0.286,36.067,2023-02-04 05:08:14.753701+00:00,humidity,100,144,SDS011,3528,-0.286,36.067,2023-02-04 05:08:14.749544+00:00,P1,32.0,144,SDS011,3528,-0.286,36.067,2023-02-04 05:08:14.749544+00:00,P2,19.0
145,DHT22,3528,-0.286,36.067,2023-02-04 05:10:54.792254+00:00,temperature,15,2023-02-04 05:10:54+00:00,145,DHT22,3528,-0.286,36.067,2023-02-04 05:10:54.792254+00:00,humidity,99,144,SDS011,3528,-0.286,36.067,2023-02-04 05:10:54.791203+00:00,P1,79.0,144,SDS011,3528,-0.286,36.067,2023-02-04 05:10:54.791203+00:00,P2,24.0
145,DHT22,3528,-0.286,36.067,2023-02-04 05:13:35.298508+00:00,temperature,15,2023-02-04 05:13:35+00:00,145,DHT22,3528,-0.286,36.067,2023-02-04 05:13:35.298508+00:00,humidity,99,144,SDS011,3528,-0.286,36.067,2023-02-04 05:13:35.214403+00:00,P1,48.0,144,SDS011,3528,-0.286,36.067,2023-02-04 05:13:35.214403+00:00,P2,18.0
145,DHT22,3528,-0.286,36.067,2023-02-04 05:16:15.289025+00:00,temperature,16,2023-02-04 05:16:15+00:00,145,DHT22,3528,-0.286,36.067,2023-02-04 05:16:15.289025+00:00,humidity,99,144,SDS011,3528,-0.286,36.067,2023-02-04 05:16:15.281997+00:00,P1,43.0,144,SDS011,3528,-0.286,36.067,2023-02-04 05:16:15.281997+00:00,P2,22.0
145,DHT22,3528,-0.286,36.067,2023-02-04 05:18:54.941593+00:00,temperature,16,2023-02-04 05:18:54+00:00,145,DHT22,3528,-0.286,36.067,2023-02-04 05:18:54.941593+00:00,humidity,97,144,SDS011,3528,-0.286,36.067,2023-02-04 05:18:54.943865+00:00,P1,34.0,144,SDS011,3528,-0.286,36.067,2023-02-04 05:18:54.943865+00:00,P2,17.0
145,DHT22,3528,-0.286,36.067,2023-02-04 05:21:35.244342+00:00,temperature,16,2023-02-04 05:21:35+00:00,145,DHT22,3528,-0.286,36.067,2023-02-04 05:21:35.244342+00:00,humidity,97,144,SDS011,3528,-0.286,36.067,2023-02-04 05:21:35.244369+00:00,P1,19.0,144,SDS011,3528,-0.286,36.067,2023-02-04 05:21:35.244369+00:00,P2,11.0
145,DHT22,3528,-0.286,36.067,2023-02-04 05:24:15.680683+00:00,temperature,16,2023-02-04 05:24:15+00:00,145,DHT22,3528,-0.286,36.067,2023-02-04 05:24:15.680683+00:00,humidity,96,144,SDS011,3528,-0.286,36.067,2023-02-04 05:24:15.627939+00:00,P1,35.0,144,SDS011,3528,-0.286,36.067,2023-02-04 05:24:15.627939+00:00,P2,10.0
145,DHT22,3528,-0.286,36.067,2023-02-04 05:26:55.399735+00:00,temperature,16,2023-02-04 05:26:55+00:00,145,DHT22,3528,-0.286,36.067,2023-02-04 05:26:55.399735+00:00,humidity,96,144,SDS011,3528,-0.286,36.067,2023-02-04 05:26:55.383476+00:00,P1,24.0,144,SDS011,3528,-0.286,36.067,2023-02-04 05:26:55.383476+00:00,P2,13.0
145,DHT22,3528,-0.286,36.067,2023-02-04 05:29:35.695352+00:00,temperature,16,2023-02-04 05:29:35+00:00,145,DHT22,3528,-0.286,36.067,2023-02-04 05:29:35.695352+00:00,humidity,96,144,SDS011,3528,-0.286,36.067,2023-02-04 05:29:35.965241+00:00,P1,23.0,144,SDS011,3528,-0.286,36.067,2023-02-04 05:29:35.965241+00:00,P2,13.0
